time;x;y
12940.572139303482;898.5;314.5
12973.924129353234;893.5;307.5
13007.276119402984;874.5;313.5
13040.628109452737;873.5;305.5
13073.980099502487;867.5;295.5
13107.332089552237;888.5;292.5
13140.68407960199;882.5;279.5
13174.03606965174;869.5;285.5
13207.388059701492;863.5;286.5
13240.740049751243;873.5;277.5
13274.092039800995;877.5;257.5
13307.444029850745;872.5;257.5
13340.796019900497;865.5;253.5
13374.148009950248;863.5;249.5
13407.5;875.5;258.5
13440.85199004975;876.5;249.5
13474.203980099503;883.5;236.5
13507.555970149253;867.5;224.5
13540.907960199005;877.5;219.5
13574.259950248756;875.5;229.5
13607.611940298508;870.5;224.5
13640.963930348258;886.5;214.5
13674.315920398009;883.5;208.5
13707.66791044776;882.5;190.5
13741.019900497511;882.5;198.5
13774.371890547263;881.5;189.5
13807.723880597014;870.5;184.5
13841.075870646766;884.5;175.5
13874.427860696516;897.5;177.5
13907.779850746268;892.5;174.5
13941.131840796019;898.5;161.5
13974.483830845771;901.5;159.5
14007.835820895521;883.5;175.5
14041.187810945274;911.5;147.5
14074.539800995024;915.5;145.5
14107.891791044776;917.5;155.5
14141.243781094527;910.5;128.5
14174.595771144279;924.5;140.5
14207.94776119403;931.5;121.5
14241.29975124378;937.5;145.5
14274.651741293532;934.5;135.5
14308.003731343282;940.5;140.5
14341.355721393034;939.5;125.5
14374.707711442785;947.5;135.5
14408.059701492537;958.5;115.5
14441.411691542287;962.5;116.5
14474.76368159204;954.5;116.5
14508.11567164179;962.5;114.5
14541.467661691542;968.5;120.5
14574.819651741293;980.5;104.5
14608.171641791045;988.5;112.5
14641.523631840795;986.5;112.5
14674.875621890547;994.5;107.5
14708.227611940298;998.5;107.5
14741.57960199005;998.5;104.5
14774.9315920398;1001.5;99.5
14808.283582089553;1007.5;111.5
14841.635572139303;1019.5;119.5
14874.987562189053;1020.5;125.5
14908.339552238805;1024.5;110.5
14941.691542288556;1029.5;118.5
14975.043532338308;1043.5;119.5
15008.395522388058;1040.5;104.5
15041.74751243781;1048.5;110.5
15075.099502487561;1060.5;110.5
15108.451492537313;1062.5;108.5
15141.803482587064;1065.5;111.5
15175.155472636816;1075.5;108.5
15208.507462686566;1075.5;107.5
15241.859452736318;1073.5;108.5
15275.211442786069;1084.5;115.5
15308.563432835821;1081.5;123.5
15341.915422885571;1084.5;120.5
15375.267412935324;1085.5;115.5
15408.619402985074;1094.5;124.5
15441.971393034824;1093.5;119.5
15475.323383084577;1115.5;115.5
15508.675373134327;1106.5;119.5
15542.02736318408;1121.5;125.5
15575.37935323383;1114.5;134.5
15608.731343283582;1131.5;121.5
15642.083333333332;1131.5;143.5
15675.435323383084;1140.5;129.5
15708.787313432835;1140.5;132.5
15742.139303482587;1137.5;135.5
15775.491293532337;1150.5;134.5
15808.84328358209;1159.5;139.5
15842.19527363184;1152.5;150.5
15875.547263681592;1159.5;149.5
15908.899253731342;1159.5;153.5
15942.251243781095;1167.5;159.5
15975.603233830845;1171.5;163.5
16008.955223880597;1166.5;164.5
16042.307213930348;1178.5;166.5
16075.659203980098;1178.5;172.5
16109.01119402985;1196.5;175.5
16142.3631840796;1199.5;173.5
16175.715174129353;1187.5;170.5
16209.067164179103;1205.5;173.5
16242.419154228855;1206.5;186.5
16275.771144278606;1212.5;183.5
16309.123134328358;1218.5;186.5
16342.475124378108;1219.5;191.5
16375.82711442786;1217.5;194.5
16409.17910447761;1217.5;191.5
16442.531094527363;1226.5;196.5
16475.883084577115;1232.5;200.5
16509.235074626864;1224.5;201.5
16542.587064676616;1230.5;202.5
16575.93905472637;1253.5;204.5
16609.291044776117;1257.5;215.5
16642.64303482587;1253.5;213.5
16675.99502487562;1254.5;214.5
16709.347014925374;1256.5;216.5
16742.699004975122;1255.5;225.5
16776.050995024874;1268.5;224.5
16809.402985074626;1271.5;247.5
16842.75497512438;1273.5;231.5
16876.106965174127;1277.5;233.5
16909.45895522388;1287.5;244.5
16942.81094527363;1285.5;242.5
16976.162935323384;1296.5;242.5
17009.514925373132;1293.5;256.5
17042.866915422885;1298.5;260.5
17076.218905472637;1299.5;263.5
17109.57089552239;1305.5;266.5
17142.922885572138;1306.5;268.5
17176.27487562189;1309.5;269.5
17209.626865671642;1306.5;273.5
17242.97885572139;1315.5;270.5
17276.330845771143;1316.5;274.5
17309.682835820895;1346.5;277.5
17343.034825870647;1335.5;279.5
17376.386815920396;1345.5;285.5
17409.738805970148;1327.5;294.5
17443.0907960199;1336.5;284.5
17476.442786069652;1350.5;300.5
17509.7947761194;1355.5;308.5
17543.146766169153;1351.5;307.5
17576.498756218905;1358.5;302.5
17609.850746268658;1366.5;304.5
17643.202736318406;1342.5;314.5
17676.55472636816;1363.5;308.5
17709.90671641791;1366.5;312.5
17743.258706467663;1371.5;317.5
17776.61069651741;1378.5;323.5
17809.962686567163;1376.5;326.5
17843.314676616916;1386.5;325.5
17876.666666666664;1381.5;334.5
17910.018656716416;1389.5;336.5
17943.37064676617;1384.5;345.5
17976.72263681592;1389.5;349.5
18010.07462686567;1382.5;348.5
18043.42661691542;1406.5;344.5
18076.778606965174;1408.5;357.5
18110.130597014926;1389.5;361.5
18143.482587064675;1406.5;363.5
18176.834577114427;1405.5;367.5
18210.18656716418;1411.5;379.5
18243.53855721393;1413.5;376.5
18276.89054726368;1421.5;379.5
18310.242537313432;1425.5;377.5
18343.594527363184;1421.5;389.5
18376.946517412936;1434.5;383.5
18410.298507462685;1435.5;391.5
18443.650497512437;1432.5;392.5
18477.00248756219;1436.5;398.5
18510.354477611938;1435.5;399.5
18543.70646766169;1448.5;406.5
18577.058457711442;1444.5;406.5
18610.410447761195;1444.5;410.5
18643.762437810943;1454.5;418.5
18677.114427860695;1457.5;417.5
18710.466417910447;1469.5;418.5
18743.8184079602;1469.5;427.5
18777.17039800995;1466.5;416.5
18810.5223880597;1469.5;438.5
18843.874378109453;1471.5;435.5
18877.226368159205;1479.5;437.5
18910.578358208953;1482.5;426.5
18943.930348258706;1476.5;430.5
18977.282338308458;1480.5;436.5
19010.634328358206;1490.5;432.5
19043.98631840796;1492.5;444.5
19077.33830845771;1488.5;430.5
19110.690298507463;1499.5;444.5
19144.04228855721;1495.5;442.5
19177.394278606964;1499.5;449.5
19210.746268656716;1501.5;447.5
19244.09825870647;1507.5;450.5
19277.450248756217;1512.5;450.5
19310.80223880597;1515.5;448.5
19344.15422885572;1513.5;450.5
19377.506218905473;1527.5;457.5
19410.858208955222;1525.5;459.5
19444.210199004974;1524.5;451.5
19477.562189054726;1532.5;468.5
19510.91417910448;1537.5;462.5
19544.266169154227;1533.5;444.5
19577.61815920398;1552.5;448.5
19610.97014925373;1545.5;444.5
19644.32213930348;1554.5;466.5
19677.674129353232;1553.5;459.5
19711.026119402984;1565.5;452.5
19744.378109452737;1566.5;459.5
19777.730099502485;1564.5;444.5
19811.082089552237;1574.5;452.5
19844.43407960199;1578.5;455.5
19877.786069651742;1587.5;447.5
19911.13805970149;1582.5;452.5
19944.490049751243;1587.5;441.5
19977.842039800995;1590.5;436.5
20011.194029850747;1587.5;443.5
20044.546019900496;1597.5;443.5
20077.898009950248;1597.5;447.5
